product_id,current_quantity,product_name,category,reorder_level,initial_quantity,below_reorder
P0039,-137,Kẹp bướm 25 mm,Hồ sơ và lưu trữ,25,120,True
P0077,-124,Tipping the Velvet,Sách,19,77,True
P0064,-120,Lenovo Yoga 920,Thiết bị văn phòng,8,40,True
P0060,-109,Tai nghe có mic,Phụ kiện máy tính,8,32,True
P0061,-108,Apple MacBook Pro 14 Inch Space Grey,Thiết bị văn phòng,5,24,True
P0075,-107,Apple MagSafe Battery Pack,Phụ kiện máy tính,1,1,True
P0022,-103,Thước ê ke 2 chiếc,Dụng cụ học tập,20,90,True
P0072,-100,Apple Airpower Wireless Charger,Phụ kiện máy tính,1,1,True
P0033,-95,Bìa còng 5 cm,Hồ sơ và lưu trữ,18,75,True
P0037,-93,Cặp tài liệu A4,Hồ sơ và lưu trữ,10,45,True
P0062,-87,Asus Zenbook Pro Dual Screen Laptop,Thiết bị văn phòng,9,45,True
P0067,-86,Samsung Galaxy Tab S8 Plus Grey,Thiết bị văn phòng,12,62,True
P0046,-80,Máy ép plastic A4,Thiết bị văn phòng,4,15,True
P0069,-79,Amazon Echo Plus,Phụ kiện máy tính,12,61,True
P0017,-77,Bút chì 2B,Bút viết,45,220,True
P0085,-77,The Black Maria,Sách,16,65,True
P0020,-72,Bút dạ quang 5 màu,Bút viết,15,70,True
P0066,-71,iPad Mini 2021 Starlight,Thiết bị văn phòng,9,47,True
P0051,-64,Chuột không dây,Phụ kiện máy tính,10,45,True
P0032,-63,Bìa nút A4,Hồ sơ và lưu trữ,35,160,True
P0053,-62,USB 32 GB,Phụ kiện máy tính,15,70,True
P0065,-60,New DELL XPS 13 9300 Laptop,Thiết bị văn phòng,14,74,True
P0068,-53,Samsung Galaxy Tab White,Thiết bị văn phòng,18,92,True
P0010,-52,Giấy photo A3 70 gsm,Vở và giấy,10,45,True
P0047,-50,Máy dập ghim số 10,Thiết bị văn phòng,15,65,True
P0057,-49,Cáp USB-C 1 m,Phụ kiện máy tính,15,65,True
P0044,-46,Mực in laser đen,Thiết bị văn phòng,5,20,True
P0027,-43,Bộ màu sáp 24 màu,Dụng cụ học tập,12,55,True
P0082,-40,The Dirty Little Secrets of Getting Your Dream Job,Sách,8,32,True
P0003,-40,Vở ô ly 96 trang,Vở và giấy,35,170,True
P0063,-32,Huawei Matebook X Pro,Thiết bị văn phòng,15,75,True
P0040,-30,Kẹp giấy 33 mm,Hồ sơ và lưu trữ,30,140,True
P0071,-29,Apple AirPods Max Silver,Phụ kiện máy tính,11,59,True
P0070,-14,Apple Airpods,Phụ kiện máy tính,13,67,True
P0034,-14,File hộp 10 cm,Hồ sơ và lưu trữ,15,60,True
P0002,-5,Vở kẻ ngang 120 trang,Vở và giấy,30,150,True
P0012,8,Bút bi đen 0.5 mm,Bút viết,60,300,True
P0030,9,Hồ khô 15 g,Dụng cụ học tập,28,130,True
P0054,10,USB 64 GB,Phụ kiện máy tính,12,55,True
P0041,46,Máy tính cầm tay khoa học,Thiết bị văn phòng,8,35,False
P0080,60,Sapiens: A Brief History of Humankind,Sách,27,110,False
P0007,78,Giấy in A4 80 gsm,Vở và giấy,20,100,False
P0081,81,The Requiem Red,Sách,30,121,False
P0013,120,Bút bi đỏ 0.5 mm,Bút viết,50,240,False
P0004,122,Sổ lò xo A5 200 trang,Vở và giấy,20,90,False
P0014,132,Bút gel xanh 0.5 mm,Bút viết,40,180,False
P0021,135,Thước thẳng 20 cm,Dụng cụ học tập,35,160,False
P0024,135,Tẩy chì trắng,Dụng cụ học tập,40,180,False
P0090,167,Rip it Up and Start Again,Sách,30,120,False
P0001,179,Vở kẻ ngang 80 trang,Vở và giấy,35,180,False
P0011,204,Bút bi xanh 0.5 mm,Bút viết,70,350,False
P0031,243,Bìa lá A4 trong,Hồ sơ và lưu trữ,60,300,False
