product_id,product_name,category,brand,unit,unit_price,initial_quantity,reorder_level,popularity_weight,paired_product_id,source_type,source_reference
P0026,Hộp bút vải,Dụng cụ học tập,OEM,chiếc,65000,60,15,6,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0027,Bộ màu sáp 24 màu,Dụng cụ học tập,Crayola,bộ,92000,55,12,3,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0028,Bộ màu nước 12 màu,Dụng cụ học tập,Pentel,bộ,78000,50,12,10,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0029,Kéo học sinh 13 cm,Dụng cụ học tập,Deli,chiếc,25000,85,18,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0030,Hồ khô 15 g,Dụng cụ học tập,Thiên Long,thỏi,14000,130,28,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0031,Bìa lá A4 trong,Hồ sơ và lưu trữ,Plus,chiếc,4000,300,60,1,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0032,Bìa nút A4,Hồ sơ và lưu trữ,Deli,chiếc,12000,160,35,8,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0033,Bìa còng 5 cm,Hồ sơ và lưu trữ,King Jim,chiếc,69000,75,18,5,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0034,File hộp 10 cm,Hồ sơ và lưu trữ,Flexoffice,chiếc,85000,60,15,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0035,Túi hồ sơ dây buộc,Hồ sơ và lưu trữ,Hồng Hà,chiếc,16000,110,25,9,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0036,Khay tài liệu 3 tầng,Hồ sơ và lưu trữ,Deli,bộ,185000,35,8,6,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0037,Cặp tài liệu A4,Hồ sơ và lưu trữ,OEM,chiếc,95000,45,10,3,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0038,Nhãn dán phân loại,Hồ sơ và lưu trữ,Avery,xấp,35000,80,18,10,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0039,Kẹp bướm 25 mm,Hồ sơ và lưu trữ,Deli,hộp,28000,120,25,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0040,Kẹp giấy 33 mm,Hồ sơ và lưu trữ,Plus,hộp,18000,140,30,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0041,Máy tính cầm tay khoa học,Thiết bị văn phòng,Casio,chiếc,680000,35,8,1,P0042,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0042,Pin AAA 4 viên,Thiết bị văn phòng,Panasonic,vỉ,42000,100,22,8,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0043,Máy in laser đơn sắc,Thiết bị văn phòng,Brother,chiếc,3190000,12,3,5,P0006,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0044,Mực in laser đen,Thiết bị văn phòng,Brother,hộp,920000,20,5,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0045,Máy hủy tài liệu,Thiết bị văn phòng,Silicon,chiếc,1850000,10,3,9,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0046,Máy ép plastic A4,Thiết bị văn phòng,Deli,chiếc,890000,15,4,6,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0047,Máy dập ghim số 10,Thiết bị văn phòng,Max,chiếc,78000,65,15,3,P0048,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0048,Kim bấm số 10,Thiết bị văn phòng,Max,hộp,12000,160,35,10,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0049,Máy đục lỗ 2 lỗ,Thiết bị văn phòng,Deli,chiếc,125000,45,10,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0050,Bảng trắng 60 x 90 cm,Thiết bị văn phòng,Bavico,chiếc,420000,18,5,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0051,Chuột không dây,Phụ kiện máy tính,Logitech,chiếc,320000,45,10,1,P0059,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0052,Bàn phím có dây,Phụ kiện máy tính,Logitech,chiếc,290000,35,8,8,P0059,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0053,USB 32 GB,Phụ kiện máy tính,SanDisk,chiếc,165000,70,15,5,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0054,USB 64 GB,Phụ kiện máy tính,Kingston,chiếc,245000,55,12,2,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0055,Thẻ nhớ microSD 64 GB,Phụ kiện máy tính,SanDisk,chiếc,280000,45,10,9,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0056,Cáp HDMI 2 m,Phụ kiện máy tính,Ugreen,sợi,180000,50,12,6,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0057,Cáp USB-C 1 m,Phụ kiện máy tính,Anker,sợi,220000,65,15,3,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0058,Bộ chia USB 4 cổng,Phụ kiện máy tính,Ugreen,chiếc,350000,30,8,10,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0059,Tấm lót chuột,Phụ kiện máy tính,OEM,chiếc,55000,90,20,7,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
P0060,Tai nghe có mic,Phụ kiện máy tính,Rapoo,chiếc,390000,32,8,4,,lecturer_sample,Bộ dữ liệu mẫu Chuyên đề 6
